variable,model,exo_vars,best_order(ARIMA),sigma_source,IS_R2,IS_MSE,OOS_R2,OOS_MSE,IS_STD,OOS_STD,OOS_RMSE,STD / RMSE,ABS_STD_ERR,QLIKE,CORR_SIGMA_ABSERR,CORR_VAR_SQERR,IS_GARCH_STD,OOS_GARCH_STD,_status
bm,arimax,lty,"(1, 0, 0)",garch,0.022747942908147745,0.000874707527347114,-0.0010661877992308444,0.0006662769278899697,0.027740661696243542,0.02622823772602963,0.025794207030684798,1.0168266733235298,0.016826673323529828,-6.609788275855648,0.41146284168990427,0.3565898040679652,0.027740661696243542,0.02622823772602963,ok
tchi,arimax,ogap,"(1, 0, 1)",garch,0.144604595340729,0.33286252690321777,0.1017195541001995,0.3198870881071136,0.6685350167136731,0.6260191399492102,0.5671337841407106,1.1038297443304659,0.10382974433046588,-0.25276182396608043,0.22706287792977872,0.10584020305896381,0.6685350167136731,0.6260191399492102,ok
svar,arimax,avgcor,"(0, 0, 2)",garch,0.3043721837305077,9.057694807171805e-06,0.2414963624051738,2.6136059119861454e-05,0.004223235082699506,0.0037451352577532308,0.005108375436244012,0.7331362591679208,0.2668637408320792,-3.5571227943850743,0.19084946398892302,0.04588638219344261,0.004223235082699506,0.0037451352577532308,ok
ogap,arimax,dfy,"(1, 0, 1)",garch,0.14706603827826703,9.501904201580363e-05,0.06736793337975133,8.878212878569931e-05,0.009182234606814514,0.009493831890967995,0.009444033769437025,1.0052729715656172,0.005272971565617235,-8.68122682447095,0.3767618702067621,0.2981192982293051,0.009182234606814514,0.009493831890967995,ok
dfy,arimax,avgcor,"(1, 0, 1)",garch,0.16162772786407786,9.064054095612318e-07,0.14397969832294322,1.234394755652988e-06,0.0009784244239788903,0.0010787449393212095,0.0011105905631791828,0.9713255047235303,0.028674495276469703,-13.063551982600861,0.46453499482344784,0.30147336895360316,0.0009784244239788903,0.0010787449393212095,ok
lty,arimax,infl,"(1, 0, 0)",garch,0.015224696752622169,6.023650303531178e-05,0.01102413161512672,9.669053533756099e-06,0.0028837725132440954,0.0031930681350784314,0.0031073103592893065,1.0275987158903364,0.027598715890336356,-10.655520633241029,0.4093127072255226,0.3959905589989418,0.0028837725132440954,0.0031930681350784314,ok
infl,arimax,ep,"(2, 0, 2)",garch,0.3221104830532284,7.496164080834973e-06,0.08822180297907278,9.492871596382513e-06,0.0029429192418184767,0.002912524255905445,0.0030810504047130605,0.9453023720255201,0.05469762797447986,-10.661880834355323,0.2534635264782194,0.23594639700139974,0.0029429192418184767,0.002912524255905445,ok
de,arimax,gpce,"(2, 0, 1)",garch,0.452454222781114,0.0010028600748912936,0.3749864204851593,0.004508454638286881,0.05367764879650918,0.04359556858444795,0.0670916695238388,0.6497910827656138,0.3502089172343862,-8.053744769963883,0.7210317114909544,0.4590384142110709,0.05367764879650918,0.04359556858444795,ok
ltr,arimax,tms,"(2, 0, 2)",garch,0.017654850991537407,0.0006360123214897388,-0.00975164466575662,0.0009347388586061772,0.02772010624268123,0.029725910382165918,0.030573499286247512,0.9722770070855823,0.02772299291441771,-6.023859631129503,0.2623458625424109,0.21542640192458035,0.02772010624268123,0.029725910382165918,ok
tail,arimax,dy,"(2, 0, 2)",garch,0.09898836872077865,0.000246446277321102,0.11451910965291823,0.0003096666462097104,0.017199031687542648,0.01620839978218122,0.017584212091753326,0.9217586604169011,0.07824133958309887,-7.078162916135719,0.11408206400543155,0.09271885861424616,0.017199031687542648,0.01620839978218122,ok
avgcor,arimax,dfy,"(1, 0, 2)",garch,0.2425786129958042,0.001995788696544066,0.1896284019706408,0.002453352225133609,0.04948631614711415,0.04941628982902954,0.04949681088114235,0.9983732072697338,0.0016267927302662244,-5.067434537540916,0.19833351538224697,0.09339287713581837,0.04948631614711415,0.04941628982902954,ok
