feature_type,index_type,r2_cut,dim_reduction,topN,n_components,use_sigma,IS_R2,OOS_R2,MSE,RMSE,MAE,RRMSE,MASE,hit_rate,DM_t_mse,DM_p_mse,DM_t_mae,DM_p_mae,CW_t,CW_p,best_vol_model,best_vol_qlike,best_vol_coverage_95,strategy,combo_dir
dual,sp500,0.2,pls,,15.0,True,0.0319772157402791,-0.0040120333426643,0.0019624831934556,0.0442999231766342,0.0337950137309307,1.0020040086460054,1.0018280292176855,0.61,0.5746311391674574,0.5655407876842757,0.4610556414842992,0.644758685624846,-0.168638148066103,0.5669593637714934,EGARCH,1.3451413373536525,0.95,dual_pls_0.2,pls__dual__sp500__tau0p2
past,sp500,0.0,pls,,1.0,True,0.0523168874888803,0.0021085553015809,0.0019505196392855,0.0441646876960036,0.0331398939917924,0.9989451660118382,0.98240749214118,0.63,-0.1161564461346441,0.9075285539764432,-1.6221975127825574,0.1047610640916896,1.3286290025334544,0.0919851993545626,EGARCH,1.447676712342392,0.9433333333333334,past_pls,pls__past__sp500__tau0
dual,sp500,0.0,shap_pca,5.0,3.0,True,0.0262801861485181,0.0157369577072642,0.0019238810037048,0.0438620679369416,0.0334110798357249,0.9921003186637608,0.9904465946472985,0.6466666666666666,-1.3612011035055738,0.1734501455533101,-1.7421144995404052,0.0814884109243034,1.6772946999809766,0.0467424342325019,EGARCH,1.347172879561463,0.9466666666666668,dual_pca_shap_0,shap_pca__dual__sp500__tau0
dual,sp500,0.05,shap_pca,15.0,8.0,True,0.0297166124830755,0.0078128183276392,0.001939369852283,0.0440382771266436,0.0336511581533567,0.9960859308675938,0.997563537688835,0.62,-1.2680164900074409,0.2047920618315988,-0.742643575965194,0.4576974989085771,1.5541557615312864,0.0600736334622225,EGARCH,1.2943849467156725,0.9466666666666668,dual_pca_shap_0.05,shap_pca__dual__sp500__tau0p05
dual,sp500,0.1,shap_pca,15.0,1.0,True,0.0239697041285452,0.0055958080215966,0.0019437033117644,0.044087450728801,0.0333632721444293,0.9971981708659534,0.9890293712209836,0.6466666666666666,-0.4406498571876226,0.659466502726741,-1.601610336287424,0.1092418036888094,1.0995069113941924,0.1357735105058244,EGARCH,1.3868203729459867,0.9366666666666666,dual_pca_shap_0.1,shap_pca__dual__sp500__tau0p1
dual,sp500,0.15,shap_pca,20.0,2.0,True,0.0259024070490865,0.006752280836305,0.0019414428224603,0.044061806845162,0.0335582269093229,0.9966181410970276,0.9948086601259972,0.63,-0.8074008111972135,0.4194355997367662,-1.300374584333774,0.1934726164482925,1.1500871979807843,0.1250539793106948,EGARCH,1.2942523565905413,0.9466666666666668,dual_pca_shap_0.15,shap_pca__dual__sp500__tau0p15
dual,sp500,0.2,shap_pca,20.0,2.0,True,0.0312857835786105,0.003506611663414,0.0019477869408491,0.044133739257502,0.0336196137646732,0.9982451544268,0.9966284277640612,0.6266666666666667,-0.5908751545429538,0.5546040743225307,-0.908749784536424,0.3634822185502848,0.9999855464117848,0.1586587513019439,EGARCH,1.285876675042022,0.9466666666666668,dual_pca_shap_0.2,shap_pca__dual__sp500__tau0p2
past,sp500,0.0,shap_pca,10.0,8.0,True,0.02811346462688,0.0040963536966985,0.0019466342068277,0.0441206777693601,0.0334207007493671,0.9979497213303392,0.9907317994716008,0.6333333333333333,-0.5901765448233408,0.5550722953614513,-2.682689996833413,0.0073032653886593,0.9349813308999556,0.1748989603403115,EGARCH,1.3563527861802689,0.9466666666666668,past_pca_shap,shap_pca__past__sp500__tau0
dual,sp500,0.0,shap_pls,5.0,5.0,True,0.0278733913547397,-0.0022446361369825,0.001959028566223,0.0442609146564215,0.0338846095190255,1.0011216889754124,1.00448402967171,0.62,0.2079649434946696,0.8352563399255137,0.7923467343625249,0.4281585286005438,0.3314792617318956,0.3701412515648417,EGARCH,1.3203197686325026,0.9466666666666668,dual_pls_shap_0,shap_pls__dual__sp500__tau0
dual,sp500,0.05,shap_pls,5.0,2.0,True,0.0310294832292634,0.0163284099631547,0.001922724926812,0.0438488874067747,0.0333224159711423,0.9918021929986064,0.9878182203721813,0.65,-0.950279883190148,0.3419700578052569,-1.3520404868970528,0.1763623638343361,1.807441154739505,0.0353467610074298,EGARCH,1.408629933380021,0.95,dual_pls_shap_0.05,shap_pls__dual__sp500__tau0p05
