strategy,side,q,threshold,n,R2_cond,RRMSE_cond,MASE_cond,RMSE_pred,RMSE_bench,MAE_pred,MAE_bench,hit_rate_cond
past_pca,down,0.15,-0.035815799999999995,45,-0.01334724249546726,1.0066515000214658,1.0053309138544506,0.08018429304312447,0.07965447132539376,0.07620352904926976,0.07579944871793957,0.0
past_pca,down,0.2,-0.026538999999999997,60,-0.011760203960923032,1.005862915093763,1.0033533963216674,0.07167989617836486,0.07126209258016347,0.06598051221224839,0.06575999289396489,0.0
past_pca,up,0.05,0.07451725000000003,15,0.022171795181144427,0.9888519630454579,0.9897911761982315,0.0871970920295102,0.08818012734784016,0.08623080818080338,0.08712020298262732,0.9333333333333333
past_pca,up,0.1,0.0569616,30,0.024081170668514562,0.9878860406603008,0.9881714997191879,0.07476471513078851,0.0756815179621487,0.07286715613069743,0.07373938243655513,0.9666666666666667
past_pca,up,0.15,0.045833650000000004,45,0.015236941032940376,0.9923522857166499,0.9939333879756078,0.06699857758065596,0.06751491234009846,0.06442830013592939,0.06482154731430606,0.9333333333333333
past_pca,up,0.2,0.03796580000000001,60,0.013497439971094538,0.9932283524089037,0.9952497453308077,0.060849970855331455,0.061264834725821476,0.057468910915858054,0.05774320584905667,0.95
dual_pls_0,down,0.05,-0.0803146,15,-0.006207000576522237,1.0030986993195248,1.0029723059934168,0.10498551551186636,0.10466120191670641,0.10266843983112144,0.10236418215897909,0.13333333333333333
dual_pls_0,down,0.1,-0.057458199999999994,30,-0.0072480548375095655,1.0036174843223435,1.0034505575068988,0.0903546499358803,0.09002897154276762,0.08761444210009683,0.08731316301002152,0.1
dual_pls_0,down,0.15,-0.035815799999999995,45,-0.008486358672058048,1.0042342150474948,1.0039893330613454,0.07999174548647998,0.07965447132539376,0.0761018379647418,0.07579944871793957,0.06666666666666667
dual_pls_0,down,0.2,-0.026538999999999997,60,-0.010559313198017062,1.005265792314658,1.005680418877941,0.07163734395959855,0.07126209258016347,0.06613353719901303,0.06575999289396489,0.06666666666666667
